audio-0.300-1.500|From behind my seat.
audio-2728.800-2732.500|She added casually I took them a casserole.
audio-2732.300-2734.100|I smiled.
audio-2733.900-2738.400|Did you try to pass it off as homemade very funny.
audio-2738.200-2742.100|It was she was watching me your head tilted slightly.
audio-2741.900-2748.400|It seems she was trying to decide whether or not to tell me something what I said.
audio-2749.100-2754.100|I think this is Mayer's concerned about you that you're writing Mike off.
audio-2753.900-2755.400|Although she didn't put it that way.
audio-2756.300-2760.100|I thought of mrs. Meyers paleface the watchful way.
audio-2759.900-2761.600|She looked at me over tea.
audio-2762.300-2765.100|Are you my mother said carefully?
audio-2766.100-2771.600|I haven't said a word to her about the rocky state of things that existed between me and Mike before the accident.
audio-2771.400-2773.600|I hadn't said a word to anyone.
audio-2774.400-2776.800|No, I said looking back at her.
audio-2776.600-2779.500|I'm not I didn't think so.
audio-2779.300-2782.600|She tilted her head concerned look on her face.
audio-2783.700-2785.200|Do you have plans for the afternoon?
audio-2786.300-2790.500|Lunch with Jamie than the hospital she nodded slowly.
audio-2791.600-2797.200|She hesitated for a moment then put her arms around me and pulled me close.
audio-2799.600-2812.000|Jamie still lived in meth land the student get on your campus and I found her sitting on her sloping front porch in a flowered bikini top and cutoffs or dark blond hair pins high off her back.
audio-2812.700-2821.900|Five or six guys Lounge on the Second Story porch of the place next door gangster rap blasted from the windows something-something bitch.
audio-2821.700-2824.500|I heard as I made my way of Jamie's walk.
audio-2825.200-2826.400|Nice neighbors.
audio-2826.200-2830.100|I said as I sat down next to her when you get a move.
audio-2830.900-2836.700|She left there not bad will be sophomores next year and they just escaped from the dorms.
audio-2836.500-2840.200|He coming over and asking to borrow some sponges.
audio-2840.000-2843.000|I don't think they're very likely to use them.
audio-2843.800-2851.100|I glanced up with the guys probably not she said her glass down and looked at me, so.
audio-2852.100-2856.100|I Shrugged nothing new are you okay?
audio-2856.900-2861.600|I Shrugged again she picked up her glass and took a long sip.
audio-2862.200-2864.300|Season 1 in the yellow t-shirt.
audio-2864.100-2869.300|I looked up with the guys who won in the yellow t-shirt was looking down at us.
audio-2871.300-2872.500|He seems pretty cool.
audio-2873.400-2874.300|Cool.
audio-2874.100-2876.500|I said tell you mean honky.
audio-2877.100-2883.800|What is the candy bar just a little smarter than the average 19 year old was all I meant.
audio-2883.600-2887.500|Liar me alone.
audio-2887.300-2888.800|Go get us some food.
audio-2888.600-2894.100|Why don't you and I have another of these she handed me her glass and I headed for the front door.
audio-2894.800-2902.500|In the refrigerator, I found a container of potato salad in a bowl of tuna and I put them on an old bamboo tray and then added a box of crackers.
audio-2902.300-2907.200|I refill Jamie's glass with ice tea and got myself some.
audio-2908.100-2909.500|They're having a party tonight.
audio-2909.300-2913.200|She announced when I got back outside who?
audio-2914.100-2917.800|Those guys she gestured with her head of the neighbors.
audio-2917.600-2925.800|He just called down and told me she Fork Tuna on to a cracker when you think it might be good for you.
audio-2926.600-2932.100|I smiled not that you have any desire to go yourself carry.
audio-2933.000-2934.000|I looked at her.
audio-2934.800-2938.500|We've been friends for 18 years best friends.
audio-2938.300-2941.300|We used to say until it was too obvious to mention.
audio-2942.000-2943.700|I know she wanted to go to the party.
audio-2943.500-2946.800|But only if I go to What's his name?
audio-2946.600-2947.600|I said.
audio-2948.400-2949.600|I think it's true.
audio-2949.400-2951.100|He's 19.
audio-2950.900-2954.200|She added more I thought to herself into me.
audio-2954.900-2960.900|maybe we should fix him up with Julie Mayer and she's 19 to She shook her head.
audio-2960.700-2976.100|No way to leave probably wants some guy with black boots and a goatee sensitive Moody an artist or maybe some guy in a band beautiful face and long thin fingers who doesn't where is this person?
audio-2976.700-2980.700|I don't God what a pain and either do you carry do you?
audio-2981.500-2982.800|I didn't answer.
audio-2983.700-2985.900|Do you she said again?
audio-2986.500-2989.600|It sounds a lot better than when I've got a vegetable.
audio-2990.400-2993.000|I turned away and buried my face in my hands.
audio-2992.800-2994.500|How could I said such a thing?
audio-2994.300-2998.000|How could I have thought it after a moment?
audio-2997.800-2999.300|I felt Jamie touch my shoulder.
audio-3000.200-3003.400|You didn't say that I looked up at her.
audio-3004.100-3005.200|But I did.
audio-3006.100-3010.900|She turned away and I felt a flash of Rage at her when she turned back.
audio-3010.700-3014.100|She said do you want me to go to the hospital with you this afternoon?
audio-3013.900-3020.500|I could just wait in the lounge if you want to see him alone and then afterward I'd be there if you felt like talking.
audio-3021.500-3022.600|I shook my hand.
audio-3022.400-3024.300|Thanks anyway.
audio-3025.100-3026.400|You can call me anytime.
audio-3026.200-3031.900|You know, she said I set my glass on the train set up.
audio-3031.700-3035.600|I've got to get going I said thanks for lunch.
audio-3036.400-3042.100|I hesitated and then held out my hand and after a moment, she covered my palm with her own.
audio-3044.400-3051.900|The hospital was crowded Saturday afternoon in people milled around big multi-generational groups of them.
audio-3052.700-3054.300|Mike's room is cold.
audio-3055.000-3057.500|I stood at the foot of his bed, and I looked at him.
audio-3058.400-3063.000|I wanted to see everything there was to see his arms slack.
audio-3062.800-3063.700|It is size.
audio-3063.500-3070.700|His closed eyes one to run into his nose to feed him on another entered a bandage on his throat and brought him there.
audio-3071.500-3076.100|Two more went into his forearms and under the cloth draped over his middle.
audio-3075.900-3079.900|He was hooked to a catheter selling him and emptying him.
audio-3079.700-3082.200|They even shaved him.
audio-3082.000-3083.900|Although not every day.
audio-3083.700-3085.500|I'm looking closer.
audio-3085.300-3087.700|I saw that it has been 3 or 4 days.
audio-3087.500-3098.600|His beard was coming in striped by a surprising blond 8 and 1/2 years and I never wondered how he would look with a beard never wanted him to look any different at all.
audio-3098.400-3101.700|I had never really wanted him to be different.
audio-3102.400-3105.300|It was only myself who is wrong with change.
audio-3105.100-3109.500|Somehow become wrong for him for us.
audio-3112.500-3120.100|Victor and Anya lives near Lake Monona on the second floor of a big pink stucco house that have been divided into Apartments.
audio-3119.900-3126.900|I parked under a Sycamore and left my windows open against the hot evening all week at work.
audio-3126.700-3137.400|Victor had raved about the meal hand on your we're going to make for me and the fun we were going to have but he never mentioned other guess so I was surprised to see the table set for 6.
audio-3138.100-3142.900|I felt uneasy thinking dinner was one thing and dinner party something else entirely.
audio-3144.000-3148.200|I force myself to smile at Victor who else is coming.
audio-3149.400-3150.300|How are you?
audio-3150.100-3159.800|Can't imagine he shook his head mournfully downstairs list Tom our neighbor and we asked him to come to now.
audio-3159.600-3167.700|He is called US 1 hour ago to say his brother from New York is arriving tonight with a friend and would we allow them as well?
audio-3167.500-3169.600|Of course I had to say yes.
audio-3169.400-3173.900|Yours is hens dramatically tell me now.
audio-3173.700-3178.800|How is this called is it called bald very bold.
audio-3179.500-3181.000|It's pretty bold.
audio-3180.800-3182.300|All right forward even.
audio-3183.100-3184.300|Full Voltage.
audio-3184.100-3188.000|Yes, you can't imagine on your she's quite put out.
audio-3189.000-3192.500|I am not quite put out on your cold from the kitchen.
audio-3192.300-3196.700|I heard a thunk as of an onion being split and a moment later.
audio-3196.500-3199.500|She came in brushing furiously at her eyes.
audio-3199.300-3203.900|She was tall and Broad faced the perfect match for him.
audio-3204.600-3207.200|I'm not quite put out and I am not crying.
audio-3207.000-3210.900|It's onion tears is all hello.
audio-3210.700-3212.400|Carrie Victor.
audio-3212.200-3224.200|You don't give her a drink I do he said I do give her a drink give her one then and she should sit in the rocking chair so she can see the lake out the window.
audio-3225.600-3244.900|Tom turn out to be someone I'd seen on Campus number of times he would have been hard to miss tall and skinny with a head full of unruly blonde curls his brother look like a toned-down Tom not quite so tall hair shading toward Brown someone whom it wouldn't have been hard to miss.
audio-3245.700-3254.300|Tom and his brother were trailed by the brothers friend a small wiry guy in jeans and a gray t-shirt his hands in his back pockets.
audio-3254.100-3257.300|He hung back little stay quiet through the introduction.
audio-3257.100-3263.100|He was called Kilroy, so I didn't catch if that was his first or last name.
audio-3264.000-3274.300|So you're what check you said to Victor on your head turn to the kitchen and the four guys were all still standing perched on the rocking chair.
audio-3274.100-3278.000|I wish they'd sit Victor's jaw tightens.
audio-3277.800-3279.500|I'm foolish.
audio-3279.300-3286.700|He said Kilroy raised his eyebrows and Victor glanced at me perplexed and turn back.
audio-3286.500-3288.500|You don't like polish.
audio-3289.300-3291.100|I like polish fun.
audio-3290.900-3295.100|Kilroy said it's just that I saw your name on the mailbox downstairs.
audio-3294.900-3298.400|So it didn't make sense picture looks offended.
audio-3298.200-3304.300|Why not because it would be Victor with a W wouldn't it in Polish?
audio-3305.200-3313.100|Hector colored slightly a linguist wictor, I've been studying a picture over the fireplace.
audio-3312.900-3314.900|But now he turned grinning.
audio-3314.700-3318.800|It's so it's so funny think I'll call you wichter from now on.
audio-3318.600-3319.300|What do you say?
audio-3320.100-3328.400|Now you see why I have the spelling with a V. Victor said to tell Ryan I stood up and went into the kitchen for another beer.
audio-3328.200-3331.700|If I'd wanted to hear a pair of guys needling each other.
audio-3331.500-3332.600|I could have hung out with the people.
audio-3332.400-3338.200|I usually hung out with the evening stretched ahead of me pointless and unending.
audio-3339.200-3347.000|Anya was grating cheese and she pause for a moment to look up me the men are sniffing each other too bad.
audio-3346.800-3349.300|They can't just each pee in a corner and be done with it.
audio-3350.300-3351.500|Back in the living room.
audio-3351.300-3361.200|I found them all still standing Tom and his brother off to the side looking at a book Victor glowering down at Kilroy when he saw me he muttered something then went into the kitchen.
audio-3361.000-3363.300|I looked at Kilroy.
audio-3363.100-3370.200|He was about my height 5 6 with a narrow sharp featured face and stradley brown hair.
audio-3370.900-3381.200|From the kitchen came the sound of Victor and Anya talking in their own language and after a moment Kilroy tilted his head in their Direction and then raised his eyebrows at me close friend of yours.
audio-3381.000-3383.300|I just work with him.
audio-3383.100-3388.500|I felt myself blush a little denying a stronger Connection in order to look good for this guy.
audio-3388.300-3392.300|We're at the UW Library.
audio-3392.100-3395.000|What do you do in New York?
audio-3394.800-3397.200|I mean, I shoot pool.
audio-3397.000-3399.100|No, really.
audio-3399.800-3401.000|You don't like pool.
audio-3400.800-3402.200|He shook his head.
audio-3403.000-3404.100|You don't know what you're missing.
audio-3403.900-3410.600|Of course, it helps that the right place to play on 6th Avenue right near my apartment.
audio-3410.400-3413.300|There's a bar called mcclanahan's with a pool table.
audio-3413.100-3423.300|That's got a tiny little gouge in the felt right near one of the side pockets and I'm such an accomplished student of that table that I can just about always make the gouge work for me.
audio-3424.000-3426.900|It struck me as the kind of person who's always joking.
audio-3426.700-3428.000|He joked is a way of life.
audio-3427.800-3431.500|But still I said I meant what do you do for work?
audio-3432.900-3440.700|He shook his head again work is beside the point is you learn someday when you're a little older I blushed again.
audio-3440.500-3442.300|I'm older than I look.
audio-3442.100-3449.700|I looked in my beer and took a long swag Richmond to look about twelve see how well I can drink beer.
audio-3449.500-3452.400|He smiled but he was watching me closely.
audio-3452.200-3457.500|And now he said you're 23, I'd say give or take no more than a year.
audio-3457.300-3459.700|Right I was taking back.
audio-3459.500-3461.400|Excuse me.
audio-3462.100-3474.800|U23 you've lived in Madison all your life Let's see that you're engaged to marry your high-school sweetheart who couldn't come tonight because he's on a weekend fishing trip with his father.
audio-3474.600-3476.400|He tilted his head.
audio-3476.200-3481.200|How do I do my heart was beating wildly and I didn't know what to say.
audio-3481.000-3486.600|My could have been on a weekend fishing trip with his father was something the two of them didn't once or twice this summer.
audio-3487.400-3493.200|well versed you weren't entirely wrong or entirely, right?
audio-3494.300-3498.400|He grins I read minds Sidelines pool.
audio-3498.200-3501.300|So where did I screw up your not from Madison?
audio-3501.100-3505.100|I am he's your college, sweetheart.
audio-3506.200-3508.600|What makes you so sure I'm engaged.
audio-3508.400-3510.700|He pointed his own ring finger.
audio-3511.400-3514.900|He's both, but I was right about everything else.
audio-3515.900-3522.900|Are you came into the room then a huge steaming pot in her mitad hands in behind hurricane Victor carrying a bowl of salad.
audio-3522.700-3525.200|They put the food on the dining table.
audio-3525.000-3528.800|Then turn to face us almost everything else.
audio-3528.600-3531.500|I said to Kilroy but not quite.
audio-3534.000-3536.700|Book Hillary said haunted me all evening long.
audio-3536.500-3538.600|How could I have known?
audio-3538.400-3539.600|I was from Madison.
audio-3539.400-3545.800|Was there a never left home look about me and never left home never moved from boyfriend to boyfriend.
audio-3545.600-3548.300|Never surprised anyone look.
audio-3549.200-3559.600|The next morning, I woke with a headache and stuck with beer while everyone else had drunk Victor's polish vodka, but I'd stuck with a little too much of it and I felt terrible.
audio-3559.400-3566.400|I drink a big glass of water before my shower and another after and then it was time to go to Jamie's.
audio-3566.200-3576.600|She was throwing a going-away brunch for Christina morning Christian was moving to Boston for graduate school and although it seems wrong for us to gather without Mike.
audio-3576.400-3578.500|We had to observe the occasion somehow.
audio-3579.100-3582.700|Moving to Boston I envied her.
audio-3583.600-3599.500|Jamie at a typical Mifflin dining room with a pass through to the kitchen a bay window looking into the side yard and Wall of built-ins in this case of bank of drawers below a pair of glass front of cabinets that have been painted so often they no longer closed all the way.
audio-3599.300-3605.800|Jamie's parents have contributed an ancient dining room set it inherited from Jamie's grandmother.
audio-3605.600-3625.200|And once everyone arrived we settled into the heavy dark wood chairs Jamie at one end rooster at the other end Bill and Christine opposite means to Bill reached over and put a hand on Christine shoulder take broken up and gone back together so many times even they lost count.
audio-3625.000-3626.600|But now that she was leaving.
audio-3626.400-3627.900|He seemed really sad.
audio-3628.700-3634.300|Spotting them coming up with walk earlier, Jamie and said the bee looks grieved.
audio-3634.100-3640.700|He was good-looking dark and lanky with a sexy silver stud in one ear lobe, but he had booked.
audio-3641.800-3644.000|Rooster finally pushed back from the table.
audio-3643.800-3650.400|He stretched his legs to the side and patted his stomach the spare tire Spartans.
audio-3650.200-3655.000|He said just like Mike said I'm going to die when he wakes up.
audio-3654.800-3660.700|We all look down for a moment all of us, but rooster who in the angry way.
audio-3660.500-3662.500|He was looking at me when I looked up again.
audio-3662.300-3667.000|Tell me what I already knew that we were failing like fine not talkin about him.
audio-3666.800-3677.200|It was almost 3:30, and we've been sitting for a long time Jamie stood up and began to clear and I stretch my arms over my head and yell and then Rose to help her.
audio-3677.900-3679.400|Let's do something.
audio-3679.200-3683.500|I said to Jamie in the kitchen all of us go rent.
audio-3683.300-3685.700|Sell Boar's or play volleyball or something.
audio-3686.400-3692.300|Make like a beer commercial I could get into that we started back out to where the others were.
audio-3692.100-3694.400|But the phone rang just as we reached the doorway.
audio-3694.200-3695.600|Go ahead.
audio-3695.400-3699.400|Jamie said I'll be right there sailboards.
audio-3700.200-3703.600|I found them sitting in silence all looking stupefied.
audio-3704.200-3705.700|Perk up guys.
audio-3705.500-3708.700|They said but then Jamie was gripping my arm.
audio-3708.500-3710.400|It's for you.
audio-3710.200-3714.300|She said the phone mrs. Mayor.
audio-3716.700-3720.200|My kid woken up and now I cried freely.
audio-3720.900-3729.900|I cried when I hung up the phone I cried when I felt Jamie's arms around me and I cried as everyone came into the kitchen and hugged me rooster Titus ball.
audio-3730.500-3738.300|After Mike died of the circles on the reservoir had why didn't exactly in time with my growing sense that something was terribly wrong.
audio-3739.300-3747.000|The relief I felt now was explosive like the sudden service thing is someone from underwater spray shooting everywhere.
audio-3747.800-3753.700|Rooster drove me to the hospital and I kept crying leaning against the window and looking at the quiet day.
audio-3754.600-3755.800|It's okay.
audio-3755.600-3761.400|Mrs. Mayor said when we arrived at the Intensive Care lounge and I'd fling myself into her arms.
audio-3761.200-3766.100|So glad he'd woken so glad I was glad it's okay.
audio-3767.300-3774.000|When we were allowed in the mayor's told me I could go loan if I wanted or with rooster, but I wanted mrs. Mayor with me.
audio-3774.700-3790.300|Mike lay on his back no change of parent for my previous visit the ventilator washed inside washed inside his arms and legs are heavy and pale and his eyes his eyes were closed.
audio-3790.100-3792.300|He's sleeping.
audio-3792.100-3793.700|This is Mayor whispered.
audio-3793.500-3794.900|It's normal.
audio-3795.500-3796.400|I nodded.
audio-3797.200-3800.000|We're going to turn a den into a bedroom for him.
audio-3799.800-3802.400|She said because of the stairs.
audio-3803.300-3807.300|I felt new tears stream down my face and without looking at me.
audio-3807.100-3808.000|She took my hand.
audio-3807.800-3814.000|There's the TV already in there and we'll hook up his stereo to maybe he wants to build a new bathroom.
audio-3813.800-3822.500|His dad thinks we should wait and see but we have to be ready before Michael is It's true I said.
audio-3823.400-3833.300|Mike said Michael at first I thought I was imagining it but his eyelids fluttered a little and then opened.
audio-3833.100-3836.300|He looks straight at me his great.
audio-3836.100-3837.800|I surprisingly clear.
audio-3837.600-3841.200|Could he see me see anything?
audio-3842.100-3851.800|his eyes closed again and he slept For the next several days, I went to the hospital whenever I could for work after work.
audio-3851.600-3859.600|Sometimes almost guiltlessly during work explaining to miss crafts and then I'd be right back and then Vanishing for an hour.
audio-3859.400-3861.200|Sometimes.
audio-3861.000-3867.700|He never opened his eyes while I was there, but on others he seemed quite alert seem to recognize me.
audio-3867.500-3876.400|I began to talk to him just like it's me and I love you and everything's going to be okay.
audio-3878.100-3886.100|The doctors tested him a search for sensation in motion for reflexes Buffalo the chest it was as if he were dead.
audio-3887.100-3895.100|At least the injury happened at the lower part of the cervical spine and doctor said at least he'll be able to breathe on his own.
audio-3895.900-3897.900|And it was true.
audio-3898.700-3907.400|Although I felt there was some faulty logic and being glad about any of it the word quadriplegic and Compass situations that were far worse than Mike's.
audio-3908.000-3908.900|Think of it.
audio-3908.700-3914.000|This one said another doctor with an injury at the C5 6 level.
audio-3913.800-3919.300|He's technically a quadriplegic but a function like a paraplegic without hands.
audio-3920.000-3936.800|I understood what he meant that Mike would be able to use his shoulders and upper arms that with mechanical devices strapped to his forearms and be able to manipulate things, but I couldn't finish the gruesome image Mike with his hands chopped off blood pouring from the stumps.
audio-3937.600-3938.500|You hurt yourself.
audio-3938.300-3944.100|We told him remember the reservoir you dovin ain't your head?
audio-3944.800-3948.300|It was terrible to see the anguish on his face.
audio-3948.100-3953.800|Terrible not to know how much you understood the breathing to prevent him from speaking.
audio-3953.600-3957.400|So even once he was more alert he couldn't ask questions.
audio-3958.100-3972.300|Army the mayor's decided he had to hear at all a full description of the accident and wanted it done to him be agreed that I would wait in the lounge then going afterward visiting hours hadn't officially started yet and have the place to myself.
audio-3973.500-3995.100|Finally the neurosurgeon doctor Spellman Stern past heading for Mike's room and I understood that at that moment like new mayors and ask the doctor to let them tell Mike what he's lost but they wanted him to explain how Mike might be able to get a little of it back surgery to fuse a cervical spine and then months and months of in hospital rehab.
audio-3996.400-4004.700|The idea of Mike lying there knowing my eyes filled and I stood up and began pacing fighting hard not to cry again.
audio-4005.700-4009.200|A little later doctor Spellman appeared at the entrance to the lounge.
audio-4009.000-4013.700|He came in and looked at me and certainly then suggested we sit down.
audio-4013.500-4020.000|I've just been with Mike he said He's very strong your boyfriend.
audio-4019.800-4022.700|We're going to move ahead on the cervical fusion.
audio-4023.400-4026.600|He paused and I wondered why he coming to talk to me.
audio-4026.400-4031.800|We never spoken privately before and I was surprised he even knew who I was.
audio-4032.800-4037.900|I'm glad I saw you in here continuing it's premature to think too far ahead.
audio-4037.700-4038.700|But here you are.
audio-4038.500-4052.900|So I'll break my own rule do the person Mike seems most concerned about most aware of the nurses of notice that he's a lot more alert after your visits and after his parents say and just now we seem to want to know where you were.
audio-4053.800-4061.300|when gauged I said except that everything's changed now, although that can be hard to keep inside.
audio-4061.100-4065.900|Sometimes I counsel you to go very gently these next few months.
audio-4065.700-4067.800|We have is very hard work.
audio-4067.600-4074.400|A lot of getting better is wanting to He stood up and cleared his throat and I feel my face burning.
audio-4074.200-4078.200|My fingers were actually shaking as he walked away.
audio-4078.000-4082.600|I imagine my own outrage voice calling out to him, you know, nothing about me.
audio-4082.400-4085.300|It's not one single thing.
audio-4086.600-4090.300|I stood up and headed for Mike's room just outside.
audio-4090.100-4102.300|I pause for a moment and looked in this is Mary Esther the foot of Mike's bed looking flushed but composed I miss her Mayer was weeping sitting in the one share his glasses ask you in his lap.
audio-4102.100-4104.200|His big hands cupped over his eyes.
audio-4105.000-4107.100|I stepped in the mail looked at me.
audio-4107.900-4113.700|Immediately Mike began blinking furiously and I squeezed past mr. Mayor and sit over him.
audio-4114.300-4125.300|I'm sorry, he mouthed his gray eyes were hard on me moving over my face looking and looking for where I was now.
audio-4126.100-4129.100|We're giving what it happened to him.
audio-4130.000-4133.200|We're giving the months before hands.
audio-4133.900-4135.200|Forget all of that.
audio-4135.000-4141.200|I longed to say but not in front of his parents and how to retract something.
audio-4141.000-4146.600|I've never spoken in the first place or more spoiled through me, but I could not dwell on it.
audio-4146.400-4146.800|Now.
audio-4146.600-4153.200|I stepped forward and touched his forearm then move my fingers around to where he had some sensation.
audio-4153.800-4155.400|I stroked his skin.
audio-4156.100-4157.100|Don't worry.
audio-4156.900-4159.800|I said I love you.
audio-4159.600-4160.400|Don't worry.
audio-4161.100-4169.000|Grateful release sold his pale face color in his cheeks and outlining his dry lips.
audio-4171.400-4175.300|The day of the surgery arrived from movies and TV.
audio-4175.100-4189.500|I had an image of a fish and bustle all those people in masks and gowns that fell apart when I heard Mr. Met or talked about whether they going from the front of Mike snack of the back knives cutting him open his blood spilling.
audio-4189.300-4191.100|It was unbearable.
audio-4190.900-4193.200|Don't touch him.
audio-4193.000-4194.600|I wanted to shriek.
audio-4195.500-4209.900|weird with my schedule Sonya the or the mayor's wurster and I finally after almost 3 hours doctor Spellman came in and said it's over everything went smoothly.
audio-4209.700-4215.300|He's in recovery and we bow our heads and what each one of us.
audio-4216.100-4219.200|Only one person was allowed in and his mother insisted.
audio-4219.000-4222.500|So it was the next morning before I could see him.
audio-4223.500-4232.000|He lay flat on his back his head encircled by a steel band that is attached to his skull with screws taught struts.
audio-4231.800-4234.800|Join the band to a bulky sheepskin vest he wore.
audio-4236.300-4239.200|Oh my God, I heard myself say.
audio-4240.200-4249.600|Mr. And mrs. Mayor were nowhere to be seen But Julian John Junior were there and they turned it the sound of my voice exactly is Mike size.
audio-4249.400-4250.200|Found me.
audio-4251.900-4253.200|That's the Halo.
audio-4253.000-4254.900|Julie said flatly.
audio-4255.700-4266.700|Nehalem the device to keep his neck from moving post-surgery Somehow I expected something less medieval-looking something more like a Halo.
audio-4267.400-4274.900|Hi I said as I move closer to him, I felt something faltering me some kind of car is a resolve.
audio-4275.500-4278.000|He looked Summers face full of Shadows.
audio-4279.000-4285.200|How I send I my mouth is like cotton.
audio-4286.300-4291.300|How do you feel he licked his lips my head hurts.
audio-4291.100-4292.600|He said hoarsely.
audio-4293.400-4296.900|I nodded and it was a moment before I realized.
audio-4297.700-4301.700|He'd spoken the tube into his throat was gone.
audio-4301.500-4303.600|The ventilator was off.
audio-4303.400-4316.400|Its his extinguished your talkin I said your off the ventilator He didn't answer and Julie said they're weaning him off of it a little at a time.
audio-4317.500-4322.400|A few minutes inner side never really talked to came in should an angry look on her face.
audio-4322.200-4324.300|What are you doing?
audio-4324.100-4328.100|She demanded and for a second, I wasn't sure whom she was addressing.
audio-4327.900-4330.000|She was looking straight at Mike.
audio-4329.800-4333.100|One of you has to go now.
audio-4332.900-4335.700|I turn to Mike and smiled.
audio-4335.500-4337.500|I'll come back later.
audio-4337.300-4339.000|Okay in a few hours.
audio-4340.200-4343.000|Don't go Julie picked up.
audio-4342.800-4351.300|Her purse will go she just in the strap on her shoulder and look meaningfully it John mom and dad will be back soon Mike.
audio-4351.100-4358.800|Okay, John followed after her I looked at the screws go into Mike's head then quickly looked away.
audio-4359.600-4361.500|It was important to talk to him.
audio-4361.300-4362.800|But what can I say?
audio-4363.800-4368.500|Made a noise in his throat as if he were trying to clear but couldn't very well.
audio-4368.300-4373.800|Could you kiss me he said I was stunned.
audio-4373.600-4376.000|I wish you would kiss me.
audio-4375.800-4377.600|He went on.
audio-4378.800-4391.700|Carrie and it was only then when you said my name that the real long missing the sound of his voice finally reached me his distinctive low voice which have been silenced so long.
audio-4392.300-4394.200|Tears stream for my eyes.
audio-4394.000-4398.200|How was it that I hadn't thought about his voice mail hasn't missed it.
audio-4398.000-4405.700|He was waiting and I wipe the tears away with the sides of my four fingers then dried my hands in my pants.
audio-4406.500-4416.400|I lower my face but then stopped and sure how to avoid the Halo what would happen if I touched it would hurt him slowly carefully.
audio-4416.200-4419.400|I press my mouth to his cheek and pulled away.
audio-4419.200-4422.700|He'd pursed his lips and was holding them together.
audio-4422.500-4427.400|He started into my eyes until I bent again, press my lips to his.
audio-4428.500-4436.100|I was about to straighten up when I felt his tongue against my mouth soft and warm and infinitely familiar.
audio-4439.400-4444.000|4 days later Mike started rehab and suddenly everything was different.
audio-4443.800-4448.000|Your the nurses were pant suits and more brisk and businesslike.
audio-4447.800-4455.100|Even if it military, let's go they say there be no time for protest.
audio-4454.900-4465.400|They have you going whether it was into your wheelchair on to your other side or up to eat rehab was exhausting sometimes Mike seemed so overwhelmed you can't even talk.
audio-4465.200-4470.100|He just lie there while we chatted with each other as face drawing with fatigue.
audio-4469.900-4472.300|I slipped into despair.
audio-4472.100-4473.900|I couldn't help it.
audio-4473.700-4475.800|He was never going to walk again.
audio-4475.600-4482.000|He was going to live life from a wheelchair watch Life from a wheelchair.
audio-4482.900-4487.100|I showed up to visit but it was hard for me to talk or the smile.
audio-4486.900-4488.700|I did talk.
audio-4488.500-4491.200|I did smile, but I felt fake.
audio-4491.900-4493.400|At home afterward.
audio-4493.200-4497.000|I sat still for hours sometimes or I sewed.
audio-4498.000-4503.500|The Saturday of paddle and Portage came and Jamie arrange for us to meet rooster and Stu there.
audio-4503.300-4507.800|I had no desire to go, but I also had no desire not too.
audio-4507.600-4513.100|So I agree she pick me up at my apartment and we walked over to James, Madison Park.
audio-4513.900-4541.800|Paddle and Portage was a Madison tradition a yearly canoe Comfort race that Drew competitors from all over the Midwest serious athletes and we can Runners hundreds of people ready to paddle halfway across Lake Mendota and back then to run carrying their canoes up the hill Halfway Around the Capitol and down the other side and finally to paddle another course on Lake Monona rooster and suet State down picnic table.
audio-4541.600-4564.700|The park was beyond crowded all the contestants plus The Observers bikes Tangled against trees a voice over the loudspeaker announced the first heat was about to go and Jamie and I climbed onto the picnic table so we can see a gunshot sound in the canoes hit the water 30 or 40 of them their destination of sailboat anchored off picnic point.
audio-4565.000-4574.500|We watch them moving across the water, but after a while it got hard to see who was winning and soon even to know who was still heading away and who had already turned back.
audio-4574.300-4582.600|Why do I forget binoculars every year stew said, why do I come every year Jamie countered?
audio-4582.400-4587.600|She climb down and sat on the table or feet on the bench after a moment.
audio-4587.400-4590.400|I sat to bed myself against the Heat.
audio-4590.200-4592.300|It was already at least 90.
audio-4592.100-4594.100|I'm bored.
audio-4593.900-4596.300|Jamie said let's do something.
audio-4596.100-4597.500|Let's go to Chicago.
audio-4597.300-4599.100|What now?
audio-4598.900-4602.200|I've been planning to head to the hospital after the race.
audio-4602.800-4609.000|Jamie Shrugged why not his fingers and stretched his arms over his head.
audio-4609.900-4611.200|It's not a bad idea.
audio-4611.000-4614.600|You send three hours in an air-conditioned car.
audio-4614.400-4615.100|Sounds good.
audio-4614.900-4616.500|No matter what's on the other end.
audio-4616.300-4620.900|I don't think so restore said why not?
audio-4620.700-4625.000|I have a date a date.
audio-4624.800-4627.400|You said call the papers.
audio-4627.200-4628.000|It's a miracle.
audio-4627.800-4634.800|Shut up rooster said that he was smiling suddenly his teeth white against the pink of his face.
audio-4634.600-4648.300|Jamie leaned forward with Joan he said I look to Jamie dance to nurse Joan I said from intensive care.
audio-4649.200-4664.800|He nodded I couldn't believe it don't have to be at least 30 and then there were her looks that fragile pale skin and her long blond hair and her height roosters usual day was the kind of girl who'd be cast as a loyal best friend in the movie.
audio-4664.600-4671.500|Not exactly pretty but spunky and with a bit of a mouth which was where thing is generally went wrong.
audio-4671.300-4674.500|As far as rooster was concerned actually.
audio-4674.300-4681.000|His usual date was no one people around us moved toward the shoreline yelling and cheering and jae-min.
audio-4680.800-4683.400|I climb back onto the table to see over the crown.
